row_id,term_id,value
799,79,0.50220263
799,86,0.86474998
805,62,1
806,62,0.68280104
806,72,0.73060436
808,79,1
809,4,0.43700847
809,13,0.61900387
809,79,0.31075267
809,98,0.57383847
812,11,0.65199638
812,24,0.75822208
818,32,0.89590666
818,79,0.44424233
820,72,1
822,48,0.83780931
822,70,0.54596296
827,43,0.80924916
827,79,0.58746558
829,99,1
832,80,1
836,19,1
839,56,0.59094261
839,95,0.8067136
841,48,1
842,79,0.45667063
842,96,0.88963585
848,43,0.80924916
848,79,0.58746558
850,79,1
851,22,1
854,62,1
862,45,0.68701456
862,79,0.32601422
862,97,0.64940413
865,94,1
867,4,0.58116591
867,26,0.8137851
876,74,1
883,79,1
892,79,1
893,80,1
900,6,0.79043204
900,56,0.61254974
905,79,1
906,4,0.67516119
906,9,0.3567466
906,10,0.49781722
906,11,0.41117788
908,4,0.81918131
908,26,0.57353463
909,33,0.49614039
909,34,0.51740121
909,36,0.24807019
909,38,0.50600888
909,43,0.17890348
909,47,0.26933102
909,81,0.25300444
918,79,1
919,79,1
925,79,1
929,79,1
938,79,1
942,56,1
952,64,1
960,79,1
962,70,1
963,9,0.60239686
963,26,0.79819673
965,53,1
968,80,1
971,4,1
973,12,0.69273083
973,47,0.72119622
984,70,1
986,79,1
988,80,1
992,25,1
994,33,0.38161403
994,34,0.39796712
994,36,0.38161403
994,38,0.38920453
994,43,0.27521274
994,47,0.41432021
994,81,0.38920453
998,53,1
1001,79,1
1005,79,1
1013,56,0.47993704
1013,60,0.58344162
1013,68,0.65517655
1017,77,1
1019,5,1
1027,19,1
1028,59,1
1035,43,1
1036,40,1
1037,99,1
1045,24,1
1046,43,1
1055,23,1
1058,4,0.35058969
1058,9,0.37049428
1058,24,0.49659536
1058,29,0.49659536
1058,54,0.49659536
1059,79,1
1060,79,1
1066,79,1
1075,19,0.55212624
1075,20,0.61272214
1075,78,0.56544513
1077,90,1
1083,9,1
1089,77,1
1096,43,1
1097,43,1
1098,43,1
1099,71,1
1101,4,0.32696619
1101,9,0.69105912
1101,16,0.44837217
1101,71,0.46313367
1102,80,0.58184235
1102,97,0.81330159
1106,0,1
1107,32,0.68814437
1107,50,0.64033197
1107,79,0.34122177
1111,43,0.80924916
1111,79,0.58746558
1113,21,1
1121,33,0.39368929
1121,34,0.41055983
1121,36,0.39368929
1121,37,0.4421682
1121,38,0.40151997
1121,39,0.40586588
1128,86,1
1133,91,1
1141,86,1
1142,43,0.59174437
1142,50,0.80612567
1147,19,1
1150,36,0.70010973
1150,38,0.71403527
1154,7,1
1157,70,1
1158,72,0.82029032
1158,80,0.57194737
1159,59,1
1160,9,1
1163,52,1
1164,9,1
1169,58,1
1171,30,0.80424134
1171,80,0.59430285
1172,79,1
1175,5,1
1180,43,0.80924916
1180,79,0.58746558
1183,28,1
1185,59,1
1187,43,0.80924916
1187,79,0.58746558
1193,9,1
1194,43,0.69501455
1194,80,0.71899567
1196,33,0.39368929
1196,34,0.41055983
1196,36,0.39368929
1196,37,0.4421682
1196,38,0.40151997
1196,39,0.40586588
1198,79,1
1201,16,0.68618184
1201,23,0.6344665
1201,79,0.35581842
1203,4,1
1204,70,1
1205,65,1
1207,43,1
1211,43,1
1214,4,0.68732621
1214,9,0.72634887
1220,79,1
1221,4,1
1222,86,1
1228,80,1
1230,11,0.63074523
1230,68,0.77598998
1236,62,1
1242,53,1
1243,59,1
1247,79,1
1264,60,1
1265,4,1
1266,42,0.87782891
1266,79,0.47897433
1272,43,1
1273,97,1
1282,45,0.4630711
1282,99,0.88632114
1286,79,1
1289,0,1
1290,43,1
1292,80,1
1299,79,1
1303,48,0.90074644
1303,79,0.43434531
1304,99,1
1305,4,0.67344621
1305,56,0.73923623
1306,33,0.69625736
1306,91,0.71779223
1307,4,0.52702208
1307,9,0.55694355
1307,11,0.64192025
1310,79,1
1312,79,1
1318,50,0.79639691
1318,80,0.6047743
1321,69,0.67008577
1321,89,0.74228368
1324,79,1
1329,15,1
1334,62,1
1337,15,1
1340,21,1
1342,70,1
1345,79,0.50220263
1345,86,0.86474998
1346,61,1
1353,8,0.60817132
1353,29,0.58416699
1353,31,0.53747238
1359,79,1
1360,19,1
1361,79,1
1365,4,0.50017102
1365,9,0.52856803
1365,58,0.68588978
1366,42,1
1368,79,1
1371,80,1
1372,9,1
1373,31,0.76484447
1373,56,0.64421497
1374,56,0.44954125
1374,57,0.61368233
1374,79,0.29121533
1374,82,0.58008646
1376,79,1
1380,11,0.26389886
1380,19,0.76909701
1380,20,0.28450182
1380,42,0.28236307
1380,78,0.26254996
1380,93,0.33052157
1389,28,1
1390,4,1
1391,49,0.84177714
1391,70,0.5398252
1396,93,1
1403,86,1
1412,79,1
1413,79,1
1417,43,1
1418,67,1
1419,79,1
1420,43,1
1422,44,1
1423,79,1
1428,79,1
1432,43,0.80924916
1432,79,0.58746558
1433,16,0.43781188
1433,23,0.80963078
1433,86,0.3909204
1435,41,0.94251963
1435,59,0.33415079
1437,12,1
1444,79,1
1447,54,1
1450,43,1
1453,70,1
1454,79,1
1458,98,1
1461,65,1
1466,23,0.5567529
1466,28,0.6021338
1466,31,0.57224216
1467,42,0.68888553
1467,89,0.72487015
1469,29,0.71846391
1469,30,0.69556424
1470,15,0.57658676
1470,23,0.52775911
1470,94,0.6237131
1482,33,0.34026448
1482,34,0.35484564
1482,36,0.34026448
1482,37,0.38216467
1482,38,0.34703252
1482,39,0.35078868
1482,81,0.34703252
1482,92,0.36408661
1486,59,0.63003799
1486,69,0.77656431
1489,81,0.68995054
1489,92,0.72385652
1490,6,1
1492,48,1
1495,23,0.62469973
1495,24,0.697862
1495,79,0.35034107
1499,17,0.71690678
1499,88,0.69716904
1510,69,1
1513,46,1
1518,79,1
1519,59,0.81614891
1519,79,0.57784163
1520,42,0.53202421
1520,88,0.58543217
1520,94,0.61173475
1522,70,1
1524,4,0.68732621
1524,9,0.72634887
1525,79,1
1534,79,1
1536,80,1
1540,56,1
1543,42,1
1549,9,0.49923321
1549,11,0.57540465
1549,16,0.64782381
1550,80,1
1551,70,1
1552,43,0.71384253
1552,70,0.70030625
1558,79,1
1565,63,1
1567,10,0.72119622
1567,13,0.69273083
1570,70,1
1571,98,1
1576,4,0.70557008
1576,59,0.70864015
1583,80,1
1584,56,0.6320055
1584,77,0.7749639
1591,69,0.86712396
1591,79,0.4980924
1592,93,1
1600,83,1
1607,52,1
1610,43,1
1611,87,1
1613,18,1
1615,80,1
1618,79,1
1621,44,0.6758492
1621,79,0.33067859
1621,82,0.65869532
1628,79,0.45667063
1628,96,0.88963585
1629,70,1
1634,4,1
1635,70,1
1640,51,1
1647,4,0.63454561
1647,11,0.77288542
1648,81,1
1650,61,1
1653,36,0.93693386
1653,80,0.3495067
1657,11,1
1658,79,1
1659,44,0.6758492
1659,79,0.33067859
1659,82,0.65869532
1660,79,1
1665,70,1
1666,79,1
1673,79,0.44424233
1673,90,0.89590666
1678,60,1
1686,44,1
1689,4,0.41760427
1689,9,0.44131358
1689,15,0.57849437
1689,31,0.5442364
1693,59,1
1699,79,1
1700,78,1
1701,19,1
1702,7,1
1705,43,1
1715,0,0.71674049
1715,23,0.69733999
1717,4,0.67344621
1717,56,0.73923623
1718,76,1
1720,70,1
1721,79,1
1723,79,1
1727,42,0.47156284
1727,45,0.54221476
1727,70,0.69543629
1728,19,0.46321922
1728,20,0.51405757
1728,59,0.39318554
1728,70,0.37620311
1728,78,0.47439342
1729,79,1
1734,61,1
1736,49,1
1740,79,0.24860373
1740,96,0.96860528
1741,80,0.56634465
1741,85,0.82416851
1746,51,1
1756,42,0.62728906
1756,44,0.69954201
1756,79,0.34227098
1757,59,1
1763,59,1
1764,62,1
1767,79,1
1768,4,0.68732621
1768,9,0.72634887
1769,72,1
1779,70,0.80385312
1779,79,0.59482784
1780,4,1
1784,87,1
1788,79,1
1789,25,0.81634314
1789,70,0.5775672
1790,52,1
1793,79,1
1794,79,1
1796,79,1
1798,49,0.90343935
1798,79,0.42871592
1809,79,1
1823,81,1
1830,79,1
1831,40,1
1837,70,1
1838,42,1
1845,70,1
1854,4,0.67344621
1854,56,0.73923623
1861,54,1
1867,59,1
1869,98,1
1871,59,1
1874,4,1
1877,22,1
1883,70,1
1894,59,1
1896,50,1
1900,79,1
1901,19,0.33173866
1901,20,0.368147
1901,23,0.71097894
1901,31,0.36537944
1901,78,0.33974116
1905,60,0.88251805
1905,79,0.47027852
1908,4,0.52702208
1908,9,0.55694355
1908,11,0.64192025
1909,53,0.81909559
1909,59,0.57365706
1911,70,1
1919,58,1
1921,79,1
1937,38,0.55972485
1937,39,0.56578312
1937,66,0.60547301
1941,46,0.81574536
1941,59,0.5784112
1942,12,0.70272641
1942,53,0.71146019
1945,79,1
1957,83,1
1959,79,1
1962,84,1
1965,56,1
1966,79,1
1967,56,1
1970,75,0.73368583
1970,77,0.67948885
1971,29,1
1976,19,0.55212624
1976,20,0.61272214
1976,78,0.56544513
1978,70,1
1982,36,0.7777617
1982,56,0.62855926
1983,63,1
1984,79,1
1985,98,1
1992,5,0.70710678
1992,85,0.70710678
1993,35,0.51769978
1993,36,0.46924994
1993,37,0.52703341
1993,39,0.48376359
1997,67,1
1998,79,1
2008,79,1
2010,80,1
2026,70,1
2027,79,1
2029,15,0.58414607
2029,31,0.54955341
2029,64,0.59729759
2046,79,1
2064,53,0.7681146
2064,70,0.51471712
2064,79,0.38087564
2067,43,1
2071,79,1
2072,4,0.72103734
2072,70,0.69289621
2073,27,1
2074,80,1
2075,4,0.68732621
2075,9,0.72634887
2076,43,0.45230705
2076,82,0.65405161
2076,98,0.60632897
2081,70,1
2082,17,0.55077698
2082,26,0.52298947
2082,80,0.37847793
2082,97,0.52903798
2083,87,1
2087,58,1
2088,79,1
2089,54,0.64940413
2089,55,0.68701456
2089,79,0.32601422
2090,80,0.5904087
2090,96,0.80710443
2092,0,0.79335546
2092,4,0.60875867
2093,2,0.3166182
2093,4,0.62264794
2093,9,0.43866569
2093,55,0.31101097
2093,56,0.22782514
2093,63,0.31101097
2093,98,0.27253427
2097,70,0.80385312
2097,79,0.59482784
2098,59,1
2100,78,1
2102,59,1
2105,88,1
2106,50,0.81148045
2106,70,0.58437957
2112,49,0.5208251
2112,50,0.46380024
2112,84,0.5208251
2112,97,0.49231267
2120,6,1
2121,4,1
2129,13,1
2133,79,1
2135,70,1
2138,28,1
2141,79,1
2142,17,0.7213217
2142,79,0.34782563
2142,86,0.59892599
2144,75,1
2151,43,1
2170,78,1
2171,27,1
2174,59,1
2176,43,0.63379782
2176,70,0.62177939
2176,79,0.4600986
2180,68,1
2181,87,1
2185,25,0.74619353
2185,78,0.66572909
2190,70,1
2196,79,1
2199,79,1
2203,59,1
2206,80,1
2212,77,1
2222,80,1
2223,23,0.87220275
2223,79,0.48914451
2225,70,1
2227,79,1
2229,33,1
2230,70,1
2231,10,0.48280891
2231,56,0.35938767
2231,60,0.43689423
2231,73,0.47582974
2231,99,0.4695163
2234,48,0.82651421
2234,59,0.56291586
2239,79,1
2240,41,0.7565235
2240,86,0.65396651
2242,40,1
2245,77,0.68436165
2245,88,0.72914274
2249,83,1
2256,80,1
2259,48,0.83780931
2259,70,0.54596296
2260,54,0.5662125
2260,74,0.5662125
2260,84,0.59900486
2268,64,1
2270,4,0.81496317
2270,79,0.57951275
2276,15,0.88963585
2276,79,0.45667063
2279,64,1
2282,60,0.73311566
2282,69,0.68010398
2283,70,1
2284,70,1
2288,40,1
2294,70,0.48007379
2294,80,0.50623806
2294,90,0.71641621
2299,19,0.55212624
2299,20,0.61272214
2299,78,0.56544513
2300,62,0.88593208
2300,79,0.463815
2304,19,0.55212624
2304,20,0.61272214
2304,78,0.56544513
2306,79,1
2307,43,1
2315,2,0.51556858
2315,9,0.71430589
2315,26,0.47324004
2317,79,1
2324,70,1
2332,51,1
2334,19,1
2335,59,1
2339,4,0.68732621
2339,9,0.72634887
2341,21,1
2347,43,0.80924916
2347,79,0.58746558
2353,70,1
2363,81,0.56144474
2363,88,0.58122014
2363,92,0.58903561
2367,80,0.56634465
2367,85,0.82416851
2368,47,0.90074644
2368,79,0.43434531
2369,79,1
2377,81,0.68995054
2377,92,0.72385652
2383,33,1
2384,69,1
2386,79,1
2390,70,1
2392,6,0.4720465
2392,30,0.45700093
2392,35,0.49938522
2392,36,0.45264938
2392,80,0.33770578
2393,9,0.38562176
2393,11,0.44445873
2393,12,0.51687162
2393,31,0.47555617
2393,56,0.40055255
2394,79,1
2401,80,0.58184235
2401,97,0.81330159
2405,79,1
2410,6,1
2413,79,1
2417,79,1
2418,70,0.5398252
2418,76,0.84177714
2420,79,1
2423,79,1
2427,79,1
2428,70,1
2429,46,1
2432,4,1
2433,70,1
2435,9,0.6576728
2435,43,0.60961039
2435,79,0.44254
2436,43,0.30876532
2436,70,0.30291034
2436,79,0.22414481
2436,96,0.87330888
2441,79,0.44865764
2441,82,0.89370371
2442,80,1
2443,80,1
2446,43,0.80924916
2446,79,0.58746558
2448,60,1
2450,79,1
2453,59,0.63813017
2453,78,0.76992849
2454,32,1
2455,60,1
2456,80,1
2460,79,1
2462,56,0.55188575
2462,57,0.7533959
2462,79,0.35751466
2467,50,1
2473,59,1
2474,79,0.460338
2474,89,0.88774373
2480,9,1
2482,87,1
2484,79,1
2488,14,0.8762985
2488,70,0.27047591
2488,97,0.39867745
2489,79,1
2494,70,1
2495,67,0.90074644
2495,79,0.43434531
2496,43,1
2497,43,1
2502,86,1
2504,43,1
2505,79,1
2509,79,1
2510,22,1
2513,56,1
2514,4,0.68732621
2514,9,0.72634887
2517,4,1
2521,70,1
2524,68,1
2533,73,1
2540,75,1
2542,85,1
2544,79,1
2558,9,0.65534212
2558,11,0.75533218
2560,43,1
2562,84,1
2563,79,1
2564,9,0.58809758
2564,72,0.80878999
2565,79,1
2568,46,1
2570,59,0.81614891
2570,79,0.57784163
2579,79,1
2582,0,1
2583,99,1
2586,43,1
2589,4,0.39993165
2589,9,0.42263761
2589,17,0.58976394
2589,26,0.56000948
2604,79,1
2606,70,1
2607,79,1
2611,21,1
2612,69,1
2620,43,1
2621,23,0.87220275
2621,79,0.48914451
2623,86,1
2632,59,1
2638,79,1
2639,79,1
2646,79,1
2648,59,1
2651,79,1
2652,25,0.81634314
2652,70,0.5775672
2661,79,1
2664,59,1
2670,45,0.90343935
2670,79,0.42871592
2671,26,0.76053502
2671,70,0.52193935
2671,79,0.38621988
2680,56,1
2683,59,1
2684,9,1
2688,25,1
2690,19,0.92652324
2690,70,0.37623754
2691,27,0.73064885
2691,91,0.68275344
2699,80,1
2704,89,1
2705,4,0.68732621
2705,9,0.72634887
2708,61,1
2711,69,1
2712,79,1
2713,79,1
2717,43,1
2719,7,0.70710678
2719,8,0.70710678
2730,70,0.80385312
2730,79,0.59482784
2731,24,1
2734,43,1
2737,59,1
2738,79,1
2739,83,1
2758,80,1
2765,43,1
2766,79,1
2767,59,1
2774,69,0.86712396
2774,79,0.4980924
2778,35,0.48406074
2778,36,0.43875907
2778,37,0.49278788
2778,39,0.45232965
2778,56,0.35458943
2780,4,0.52145231
2780,80,0.52841096
2780,87,0.66997712
2788,13,0.59137499
2788,51,0.59137499
2788,98,0.54822553
2789,56,1
2790,0,1
2793,27,1
2796,4,0.49247796
2796,9,0.5204382
2796,54,0.69757404
2811,41,0.81574536
2811,59,0.5784112
2815,79,1
2817,21,1
2827,79,1
2832,58,1
2836,18,0.77534718
2836,23,0.63153523
2838,30,1
2840,58,1
2841,96,1
2847,43,1
2856,80,0.58184235
2856,82,0.81330159
2857,79,1
2858,50,0.73681947
2858,86,0.67608955
2859,69,0.77380641
2859,80,0.63342217
2862,67,1
2865,79,1
2875,15,1
2882,80,0.36685516
2882,87,0.93027807
2885,79,1
2888,70,0.43147171
2888,79,0.31927647
2888,87,0.57688238
2888,89,0.61571212
2891,79,1
2894,69,1
2900,8,0.51901831
2900,12,0.49853282
2900,18,0.54789098
2900,78,0.42649795
2901,48,1
2906,4,0.52702208
2906,9,0.55694355
2906,11,0.64192025
2913,59,0.55675422
2913,76,0.83067728
2914,79,1
2915,70,1
2917,80,1
2921,86,0.37820907
2921,94,0.92572021
2922,87,1
2926,4,1
2927,56,1
2928,43,0.80924916
2928,79,0.58746558
2929,69,1
2931,21,0.73526649
2931,43,0.54849138
2931,79,0.39817132
2932,22,0.73590669
2932,31,0.67708297
2939,56,0.60269629
2939,73,0.79797066
2941,59,1
2945,11,0.69276063
2945,23,0.72116761
2959,4,0.57674006
2959,54,0.81692772
2960,4,0.58920527
2960,58,0.80798338
2963,33,0.56543959
2963,34,0.58967005
2963,38,0.57668648
2967,79,1
2969,86,1
2976,2,0.49589495
2976,4,0.48760301
2976,8,0.23968318
2976,9,0.17176216
2976,16,0.22288504
2976,28,0.44577009
2976,30,0.22288504
2976,31,0.2118204
2976,45,0.24355639
2976,80,0.16470332
2980,21,1
2983,63,0.69341201
2983,79,0.32905005
2983,96,0.64101938
2984,21,0.79429617
2984,59,0.60753073
2989,42,0.87782891
2989,79,0.47897433
2991,89,1
2997,79,1
3000,4,0.72103734
3000,70,0.69289621
3002,26,1
3004,79,1
3005,56,0.55188575
3005,57,0.7533959
3005,79,0.35751466
3008,59,0.81614891
3008,79,0.57784163
3012,43,1
3016,79,0.45667063
3016,96,0.88963585
3017,79,1
3019,65,1
3021,62,1
3029,43,1
3036,80,1
3037,65,1
3039,11,1
3041,52,0.90074644
3041,79,0.43434531
3049,79,1
3050,79,1
3054,75,1
3058,70,0.55154709
3058,72,0.83414376
3060,80,1
3063,79,1
3064,53,1
3066,43,0.4320998
3066,67,0.65050652
3066,79,0.31367812
3066,86,0.5401269
3071,79,1
3078,70,1
3079,79,0.36823105
3079,86,0.63406238
3079,98,0.67997853
3080,79,1
3081,59,1
3089,61,1
3096,19,1
3107,31,1
3109,56,1
3116,42,0.59505867
3116,48,0.67333249
3116,70,0.43878075
3119,4,1
3120,75,1
3121,43,1
3122,42,0.73271175
3122,43,0.55072571
3122,79,0.39979331
3130,80,1
3134,80,1
3135,81,0.68995054
3135,92,0.72385652
3138,3,0.9911564
3138,31,0.071657972
3138,55,0.082394129
3138,58,0.075401097
3140,49,0.90343935
3140,79,0.42871592
3141,4,1
3144,28,0.5059247
3144,29,0.52258097
3144,86,0.45173805
3144,91,0.51660629
3149,79,1
3150,88,1
3151,56,1
3152,79,1
3155,6,0.55081169
3155,9,0.41094339
3155,11,0.47364385
3155,13,0.55081169
3157,4,0.34373252
3157,9,0.3632478
3157,11,0.41867101
3157,73,0.49956196
3157,79,0.24442501
3157,84,0.51508041
3158,70,1
3159,80,1
3161,0,0.90356751
3161,1,0.37872533
3161,4,0.092443567
3161,9,0.097692012
3161,16,0.063384417
3161,23,0.11721467
3161,29,0.065471186
3163,0,0.87782891
3163,79,0.47897433
3164,46,1
3169,31,0.28991414
3169,32,0.95705266
3171,89,1
3174,21,0.65050314
3174,25,0.67286857
3174,79,0.35226914
3179,41,0.9699115
3179,79,0.24345776
3181,65,1
3185,11,1
3189,79,1
3190,80,1
3197,19,0.59823432
3197,64,0.71614375
3197,79,0.35951889
3205,71,1
3208,79,1
3210,79,0.33384788
3210,81,0.65036598
3210,92,0.68232667
3215,19,0.55212624
3215,20,0.61272214
3215,78,0.56544513
3227,12,0.69273083
3227,47,0.72119622
3229,70,1
3233,80,1
3235,31,1
3237,69,1
3240,4,0.27382551
3240,8,0.20190001
3240,9,0.43405776
3240,11,0.16676165
3240,14,0.42626318
3240,15,0.56898311
3240,28,0.1877499
3240,31,0.35685892
3241,27,1
3247,85,1
3252,79,1
3255,98,1
3260,21,1
3266,32,0.81909559
3266,59,0.57365706
3269,11,0.65199638
3269,71,0.75822208
3271,98,1
3272,56,1
3273,24,0.73590669
3273,31,0.67708297
3276,54,1
3281,74,1
3289,6,0.70710678
3289,74,0.70710678
3299,59,0.56291586
3299,67,0.82651421
3300,89,1
3308,87,1
3313,97,1
3315,79,1
3318,70,0.48007379
3318,80,0.50623806
3318,90,0.71641621
3319,43,1
3326,31,1
3332,59,1
3337,71,0.68819699
3337,79,0.34548904
3337,98,0.63798294
3338,96,1
3339,79,1
3341,80,1
3342,70,1
3343,55,1
3345,75,1
3348,43,0.80924916
3348,79,0.58746558
3359,43,0.54112436
3359,77,0.74355515
3359,79,0.39282332
3365,61,1
3366,29,1
3369,73,1
3370,42,0.72707856
3370,59,0.56033052
3370,79,0.39671964
3376,79,1
3378,79,1
3381,56,1
3382,50,0.712777
3382,98,0.70139073
3384,80,1
3385,89,1
3387,79,1
3390,65,1
3393,79,1
3394,79,1
3397,79,1
3399,59,1
3403,79,1
3409,79,1
3410,51,0.89370371
3410,79,0.44865764
3413,77,1
3416,43,1
3423,79,1
3427,40,1
3435,79,1
3443,95,1
3444,19,1
3449,10,0.46062392
3449,56,0.34287386
3449,57,0.46806747
3449,71,0.44244323
3449,73,0.45396543
3449,79,0.2221156
3450,80,1
3451,40,1
3456,41,1
3458,90,1
3460,89,1
3462,23,1
3464,12,0.70272641
3464,90,0.71146019
3466,23,1
3471,84,1
3476,79,1
3477,79,0.33384788
3477,81,0.65036598
3477,92,0.68232667
3483,59,1
3486,79,1
3492,69,1
3494,70,0.80385312
3494,79,0.59482784
3496,0,1
3498,79,1
3500,26,1
3501,60,0.66504008
3501,76,0.74680766
3505,52,0.68663496
3505,59,0.46764798
3505,70,0.44744937
3505,79,0.33109947
3515,43,0.69501455
3515,80,0.71899567
3520,59,0.5980397
3520,77,0.80146648
3523,79,1
3525,56,0.46990823
3525,71,0.60636794
3525,94,0.64148592
3526,59,1
3527,79,1
3528,16,0.33491135
3528,17,0.7203051
3528,23,0.30967015
3528,26,0.34198233
3528,72,0.35494642
3528,79,0.17366771
3538,80,0.58184235
3538,97,0.81330159
3541,19,0.67166887
3541,20,0.49692306
3541,69,0.23423707
3541,78,0.45858099
3541,80,0.1917417
3547,52,0.77260834
3547,78,0.63488295
3549,43,0.52573333
3549,46,0.76022856
3549,79,0.38165037
3551,70,1
3552,87,1
3554,50,1
3557,95,1
3561,4,0.68732621
3561,9,0.72634887
3563,62,1
3569,59,0.81614891
3569,79,0.57784163
3571,70,1
3572,64,1
3573,0,0.48033754
3573,23,0.46733592
3573,28,0.50542845
3573,67,0.54352099
3577,40,0.69796016
3577,44,0.71613659
3578,4,0.68732621
3578,9,0.72634887
3582,70,1
3585,9,1
3591,11,1
3592,79,1
3598,43,0.69501455
3598,80,0.71899567
3599,99,1
3601,79,0.50220263
3601,86,0.86474998
3603,95,1
3605,25,1
3611,79,1
3613,79,1
3615,22,1
3618,56,1
3621,69,1
3623,80,1
3625,70,1
3626,65,1
3634,79,1
3638,15,0.78376488
3638,56,0.62105766
3647,70,1
3648,29,0.70272641
3648,99,0.71146019
3649,79,1
3650,70,1
3651,59,1
3653,42,0.51082777
3653,65,0.53751137
3653,70,0.37667108
3653,71,0.55520754
3654,4,0.28301543
3654,9,0.29908352
3654,11,0.34471675
3654,16,0.38810204
3654,23,0.35885202
3654,61,0.39629603
3654,70,0.27196972
3654,71,0.4008793
3654,79,0.20124965
3658,13,0.3747873
